# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2499
#@/user_id	1994
a 	啊	c=3 d=0.30419 t=2499
xian cheng 	線程	c=4 d=3.8874 t=1487
xian shi 	顯示	c=1 d=1.00009 t=2499
xian zai 	現在	c=8 d=1.72377 t=2499
xiang 	翔	c=1 d=1 t=2382
xiang dang yu 	相當於	c=1 d=1 t=1184
xiang guan 	相關	c=2 d=1.44264 t=1900
xiang kan kan 	想看看	c=0 d=0.1 t=1079
xiang mu 	項目	c=0 d=0.00566989 t=2499
xiao 	小	c=1 d=0.084163 t=2499
xiao li wu 	小禮物	c=1 d=0.0837432 t=2499
xie 	寫	c=1 d=1.06028 t=1751
xie de 	寫的	c=3 d=1.34396 t=2499
xie le 	寫了	c=0 d=0.100133 t=2408
xie le ge 	寫了歌	c=1 d=1 t=1084
xie le yi ge 	寫了一個	c=1 d=1 t=2409
xie ru 	寫入	c=5 d=2.91709 t=1708
xie si 	寫死	c=1 d=1 t=1822
xie wen jian 	寫文件	c=2 d=1.40454 t=1700
xie yi ge 	寫一個	c=1 d=1 t=1505
xin 	新	c=1 d=0.0179066 t=2499
xin de 	新的	c=3 d=1.88315 t=2499
xin de jia 	新的家	c=3 d=2.35655 t=2499
xin fen zhi 	新分支	c=1 d=0.179964 t=2499
xin gai dong 	新改動	c=1 d=1 t=1358
xin wen 	新聞	c=1 d=0.900325 t=2499
xin wen jie 	新聞界	c=1 d=1 t=1709
xin xi 	信息	c=5 d=0.0350844 t=2499
xin zeng 	新增	c=1 d=1 t=1872
xing 	行	c=2 d=1.68729 t=1600
xing kui 	幸虧	c=1 d=0.597501 t=2499
xing le 	行了	c=0 d=0.00639279 t=2499
xing wei 	行爲	c=1 d=0.263158 t=2499
xiu bu 	修補	c=0 d=0.1 t=2393
xiu bu le 	修補了	c=1 d=1 t=2394
xiu fu 	修復	c=1 d=1.06096 t=1544
xiu gai 	修改	c=4 d=2.06068 t=1814
xiu xi 	休息	c=0 d=0.1 t=1809
xiu xi yi tian 	休息一天	c=1 d=1 t=1810
xu qiu 	需求	c=0 d=0.0017953 t=2499
xu yao 	需要	c=6 d=1.30944 t=2499
xuan ze 	選擇	c=1 d=1 t=2389
xue kai 	薛凱	c=4 d=0.0889932 t=2499
xue xue 	學學	c=1 d=1 t=2030
ya 	呀	c=3 d=1.00827 t=2499
yan jiu 	研究	c=0 d=0.0458406 t=2499
yan jiu xia bie ren de 	研究下別人的	c=1 d=1 t=1761
yan se 	顏色	c=1 d=0.767206 t=2499
yan zheng 	驗證	c=2 d=1.26205 t=1537
yan zheng jiu shi 	驗證就是	c=1 d=1 t=1252
yang 	樣	c=2 d=1.54335 t=2467
yang cheng 	養成	c=1 d=1 t=2038
yao 	要	c=1 d=0.724153 t=2499
yao bu yao 	要不要	c=1 d=1 t=1327
yao kan 	要看	c=1 d=0.606531 t=2499
yao le 	搖了	c=0 d=0.1 t=1286
yao le 	要了	c=1 d=1 t=1289
yao qiu 	要求	c=3 d=1.20025 t=2499
yao shi 	要是	c=1 d=0.438235 t=2499
yao xia yu le ba 	要下雨了吧	c=1 d=1 t=2380
ye 	也	c=4 d=0.188586 t=2499
ye bu 	也不	c=0 d=0.0755784 t=2499
ye bu cun zai 	也不存在	c=1 d=0.759572 t=2499
ye bu de bing 	也不得病	c=1 d=1 t=1583
ye bu zhi dao 	也不知道	c=1 d=1 t=1801
ye dai le yi ge 	也帶了一個	c=1 d=0.0430669 t=2499
ye dei yi yang 	也得一樣	c=1 d=0.0178634 t=2499
ye hui 	也會	c=1 d=0.0141236 t=2499
ye jiu 	也就	c=1 d=0.0142642 t=2499
ye ke 	也可	c=0 d=0.00195457 t=2499
ye ke yi 	也可以	c=1 d=1 t=1352
ye ke yong 	也可用	c=1 d=0.0196437 t=2499
ye mei you 	也沒有	c=1 d=1 t=2418
ye shi 	也是	c=3 d=0.97166 t=2499
ye shua dao zhe ge 	也刷到這個	c=1 d=0.895834 t=2499
ye you 	也有	c=1 d=0.0927825 t=2499
ye you wa er te ni 	也有瓦爾特你	c=1 d=0.301194 t=2499
ye you wen ti 	也有問題	c=1 d=0.208045 t=2499
ye you yi ge 	也有一個	c=1 d=0.631284 t=2499
ye yu 	業餘	c=0 d=0.00699482 t=2499
ye yu dao le 	業餘到了	c=1 d=0.0702988 t=2499
ye zhi chi 	也支持	c=1 d=0.0204453 t=2499
yi ban 	一般	c=4 d=0.640824 t=2499
yi ban hao xiang 	一般好像	c=1 d=1 t=1474
yi ban shuo 	一般說	c=1 d=1 t=1486
yi chu 	一處	c=1 d=0.013912 t=2499
yi chu 	益楚	c=2 d=1.99501 t=2499
yi chu 	益處	c=2 d=1.98506 t=2499
yi chu 	移除	c=3 d=0.587876 t=2499
yi ci 	一次	c=1 d=1.00079 t=2275
yi ding 	一定	c=1 d=0.353455 t=2499
yi ding shi 	一定是	c=1 d=0.336216 t=2499
yi duan shi jian 	一段時間	c=0 d=0.1 t=1120
yi ge 	一個	c=5 d=1.35092 t=2499
yi hou 	以後	c=3 d=2.45616 t=1648
yi ji 	以及	c=1 d=1 t=1160
yi jin qu 	一進去	c=1 d=1 t=2024
yi jiu 	依舊	c=2 d=1.11347 t=2499
yi lai 	依賴	c=2 d=0.0491125 t=2499
yi lai le 	依賴了	c=1 d=0.0578443 t=2499
yi lai yu 	依賴於	c=0 d=0.1 t=2234
yi nian 	一年	c=1 d=1 t=1987
yi qi 	一起	c=0 d=0.019593 t=2499
yi qi kan kan 	一起看看	c=1 d=0.196912 t=2499
yi qian 	以前	c=1 d=0.210136 t=2499
yi si 	意思	c=0 d=0.0763379 t=2499
yi sou 	一艘	c=1 d=1.08511 t=1313
yi tao 	一套	c=1 d=1 t=1975
yi tian 	一天	c=0 d=0.1 t=1809
yi wei 	以爲	c=1 d=0.276651 t=2499
yi xi lie 	一系列	c=1 d=1 t=2361
yi xia 	一下	c=0 d=0.0989933 t=2499
yi xie 	一些	c=2 d=0.259594 t=1731
yi yan 	一眼	c=1 d=0.882497 t=2499
yi yang 	一樣	c=2 d=0.362417 t=2499
yi zhi 	一致	c=0 d=0.1 t=2205
yi zhi bu 	一致不	c=1 d=1 t=2206
yin ru 	引入	c=2 d=0.200533 t=2499
yin ru le 	引入了	c=1 d=0.923116 t=2499
yin wei 	因爲	c=1 d=0.346456 t=2499
yin yue 	音樂	c=1 d=0.752014 t=2499
ying gai 	應該	c=9 d=0.69862 t=2499
yong 	用	c=9 d=2.01905 t=2499
yong de 	用的	c=1 d=0.0548443 t=2499
yong hu 	用戶	c=1 d=1 t=1883
yong zhe ge 	用這個	c=1 d=0.075774 t=2499
you 	又	c=1 d=1 t=2040
you 	有	c=17 d=2.7461 t=2499
you ban fa 	有辦法	c=1 d=1 t=1386
you bian 	右邊	c=1 d=1 t=2331
you de 	有的	c=1 d=0.310367 t=2499
you dian 	有點	c=0 d=0.008291 t=2499
you gan jue 	有感覺	c=0 d=0.0677057 t=2499
you ge 	有個	c=1 d=1 t=1962
you guan 	有關	c=0 d=0.0113608 t=2499
you guan ma 	有關嗎	c=1 d=0.114178 t=2499
you guan xi 	有關係	c=1 d=0.120032 t=2499
you hua 	優化	c=3 d=1.4655 t=2499
you jie ru 	有接入	c=1 d=1 t=2269
you qi ta 	有其他	c=1 d=1 t=2250
you sha 	有啥	c=1 d=0.0349094 t=2499
you shen er ma 	有甚而嗎	c=1 d=0.0448245 t=2499
you wen ti 	有問題	c=3 d=1.28202 t=2499
you xi 	遊戲	c=1 d=1 t=2014
you yi xiang 	有意向	c=0 d=0.1 t=1170
you yi xiang zhe 	有意向者	c=1 d=1 t=1171
you yin xiang 	有印象	c=1 d=0.0699482 t=2499
you zhe me 	有這麼	c=0 d=0.1 t=1144
you zhe me yi ge 	有這麼一個	c=1 d=1 t=1145
yu 	與	c=2 d=1.40861 t=2243
yu dao 	遇到	c=1 d=0.588611 t=2499
yu dao de hua 	遇到的話	c=1 d=0.0632918 t=2499
yu dao le 	遇到了	c=1 d=0.0710054 t=2499
yu nian 	餘年	c=1 d=1.09802 t=2121
yu qi 	預期	c=0 d=0.0148823 t=2499
yu yan 	語言	c=7 d=5.80255 t=1529
yu yin 	語音	c=1 d=1 t=1910
yuan 	遠	c=0 d=0.1 t=2154
yuan bang ji tuan 	遠邦集團	c=1 d=1 t=2155
yuan lai 	原來	c=0 d=0.1 t=2416
yuan ma 	源碼	c=2 d=0.101266 t=2499
yuan yin 	原因	c=3 d=0.601044 t=2499
yue 	月	c=1 d=0.137381 t=2499
yue da 	越大	c=1 d=0.423162 t=2499
yue xiao 	越小	c=1 d=0.429557 t=2499
yun xing 	運行	c=3 d=0.107528 t=2499
yun xing ta 	運行他	c=1 d=1 t=2413
yun xu 	允許	c=1 d=0.444858 t=2499
za 	咋	c=0 d=0.039034 t=2499
za dou bu hui 	咋都不會	c=1 d=0.161218 t=2499
za lai de 	咋來的	c=1 d=0.231078 t=2499
za shuo 	雜說	c=0 d=0.0472367 t=2499
za shuo le 	雜說了	c=1 d=0.474734 t=2499
za yang 	咋樣	c=2 d=1.97045 t=1470
zai 	再	c=3 d=2.90845 t=1115
zai 	在	c=8 d=1.1918 t=2499
zai cha wan en en 	在茶碗嗯嗯	c=1 d=1 t=2487
zai duan 	在斷	c=1 d=1 t=1720
zai gao 	在搞	c=2 d=1.35785 t=2499
zai gao yi ge 	在搞一個	c=1 d=1 t=1328
zai jia 	再加	c=0 d=0.1 t=1995
zai jia dian 	再加點	c=1 d=1 t=1996
zai kan 	再看	c=1 d=0.0403566 t=2499
zai kan ge 	在看個	c=1 d=1 t=2488
zai kan kan 	再看看	c=2 d=0.410738 t=2499
zai la yi xia 	再啦一下	c=1 d=1 t=1021
zai na 	在哪	c=1 d=0.022099 t=2499
zai shuo 	再說	c=2 d=1.05475 t=2495
zai zhe 	在這	c=1 d=1.05326 t=1860
zai zhe ge 	在這個	c=0 d=0.1 t=2135
zai zhe ge ji chu shang 	在這個基礎上	c=1 d=1 t=2136
zai zhe li 	在這裏	c=1 d=0.0222592 t=2499
zan men 	咱們	c=0 d=0.1 t=1575
zan men hua le duo shao 	咱們花了多少	c=1 d=1 t=1576
zan zan 	讚讚	c=1 d=1 t=2436
zao qi 	早期	c=1 d=0.826959 t=2499
ze ba 	則把	c=1 d=1 t=1159
zei 	賊	c=0 d=0.137823 t=2499
zei xi huan 	賊喜歡	c=1 d=0.704688 t=2499
zei you gan jue 	賊有感覺	c=1 d=0.680451 t=2499
zen me 	怎麼	c=2 d=1.02887 t=1750
zeng yi ke 	曾軼可	c=6 d=4.1839 t=2499
zhang 	張	c=0 d=0.1 t=1939
zhang 	長	c=1 d=1 t=1942
zhang kong 	掌控	c=0 d=0.0479505 t=2499
zhang kong zhi nei 	掌控之內	c=1 d=0.481909 t=2499
zhang shen ti 	張身體	c=1 d=1 t=1940
zhao 	找	c=1 d=1.0343 t=1514
zhao de hua 	找的話	c=1 d=1 t=1301
zhe 	者	c=0 d=0.1 t=1170
zhe 	這	c=3 d=0.603717 t=2499
zhe bian 	這邊	c=1 d=1 t=1346
zhe ci 	這次	c=1 d=1 t=2276
zhe duan 	這段	c=0 d=0.1 t=1499
zhe duan dai ma 	這段代碼	c=1 d=1 t=1500
zhe fang mian 	這方面	c=1 d=1 t=1027
zhe ge 	這個	c=35 d=3.71727 t=2499
zhe ge jia 	這個價	c=1 d=1 t=1211
zhe ge shi 	這個事	c=1 d=1 t=2334
zhe ji tian 	這幾天	c=1 d=0.690734 t=2499
zhe kuan 	這款	c=4 d=2.08344 t=2499
zhe lei 	這類	c=0 d=0.02334 t=2499
zhe lei dai ma 	這類代碼	c=1 d=0.23457 t=2499
zhe li 	這裏	c=10 d=2.24865 t=2499
zhe lia 	這倆	c=1 d=0.182684 t=2499
zhe me 	這麼	c=1 d=0.882497 t=2499
zhe san ge 	這三個	c=3 d=2.58267 t=1334
zhe shi 	這是	c=5 d=0.811187 t=2499
zhe xie 	這些	c=1 d=1 t=1748
zhe yang 	這樣	c=3 d=0.506617 t=2499
zhe yi 	這一	c=1 d=1.05627 t=2466
zhe yi hang 	這一行	c=1 d=1 t=2352
zhe zhong 	這種	c=3 d=0.814786 t=2499
zheng mian 	正面	c=1 d=0.609571 t=2499
zhi 	值	c=2 d=1.54064 t=1939
zhi 	只	c=0 d=0.1 t=2350
zhi chi 	支持	c=2 d=0.249085 t=2499
zhi dao 	知道	c=1 d=0.588605 t=2499
zhi dao le 	知道了	c=0 d=0.1 t=1273
zhi ding 	制定	c=1 d=1 t=1655
zhi ding 	指定	c=1 d=1 t=1657
zhi gai le 	只改了	c=1 d=1 t=2351
zhi hou 	之後	c=1 d=0.0109618 t=2499
zhi jian 	之間	c=1 d=0.125556 t=2499
zhi jie 	直接	c=9 d=0.280238 t=2499
zhi kan 	只看	c=0 d=0.00207543 t=2499
zhi kan zhe ge 	只看這個	c=1 d=0.0208584 t=2499
zhi le 	之樂	c=0 d=0.0045502 t=2499
zhi le die 	之樂跌	c=1 d=0.04573 t=2499
zhi lei de 	之類的	c=3 d=0.157215 t=2499
zhi ling 	指令	c=1 d=0.0391639 t=2499
zhi nei 	之內	c=0 d=0.0479505 t=2499
zhi neng 	只能	c=1 d=0.0159229 t=2499
zhi qian 	之前	c=5 d=1.63928 t=2499
zhi shao 	至少	c=1 d=0.554327 t=2499
zhi shi 	只是	c=1 d=0.637628 t=2499
zhi wu 	植物	c=0 d=0.0737123 t=2499
zhi wu da zhan jiang shi 	植物大戰殭屍	c=1 d=0.740818 t=2499
zhi xing 	執行	c=3 d=1.86245 t=2405
zhi xing de 	執行的	c=1 d=1 t=1081
zhi zhen 	指針	c=0 d=0.00297478 t=2499
zhi zuo 	只做	c=0 d=0.1 t=1216
zhi zuo yi ci 	只做一次	c=1 d=1 t=1217
zhong 	中	c=17 d=1.08316 t=2499
zhong jian 	中間	c=1 d=1 t=2170
zhong qi 	中期	c=2 d=1.68735 t=2499
zhong zhong zhi zhong 	重中之重	c=1 d=1 t=1863
zhu dong 	主動	c=1 d=0.0234005 t=2499
zhu shi 	註釋	c=1 d=1.04584 t=1950
zhu shi diao 	註釋掉	c=1 d=1 t=1795
zhu yao 	主要	c=1 d=0.83527 t=2499
zhu yao de 	主要的	c=1 d=1 t=1566
zhuang 	樁	c=3 d=2.81449 t=1029
zhuang 	裝	c=0 d=0.1 t=1994
zhuang bei 	裝備	c=2 d=1.20551 t=2108
zhuang de 	裝得	c=1 d=1 t=1186
zhui jia 	追加	c=1 d=1 t=1534
zhui jiu 	追究	c=1 d=1 t=1531
zhun bei 	準備	c=1 d=1 t=2029
zi ding yi 	自定義	c=1 d=1 t=1285
zi dong 	自動	c=3 d=0.0133665 t=2499
zi fu 	字符	c=1 d=1 t=1181
zi fu chuan 	字符串	c=11 d=1.60827 t=2448
zi ji 	自己	c=8 d=0.198939 t=2499
zi wo 	自我	c=1 d=1 t=1294
zi zhi zhou 	自治州	c=5 d=4.93563 t=1862
zu jian 	組件	c=1 d=1 t=2362
zu jian 	組建	c=1 d=1 t=1899
zui da 	最大	c=2 d=0.421052 t=2499
zui hou yi ge 	最後一個	c=1 d=0.33454 t=2499
zui jin 	最近	c=3 d=0.7077 t=2499
zui qian mian 	最前面	c=1 d=0.412714 t=2499
zuo 	做	c=3 d=1.11236 t=2499
zuo bian 	左邊	c=1 d=1 t=2326
zuo de 	做的	c=1 d=0.32628 t=2499
zuo ne 	做呢	c=1 d=0.0165727 t=2499
zuo sha 	做啥	c=0 d=0.1 t=2134
