# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2592
#@/user_id	mac
a 	啊	c=3 d=0.191072 t=2592
wo you yi ge 	我有一個	c=1 d=1 t=2592
wo zai 	我在	c=1 d=0.110065 t=2592
wo zai kan kan 	我在看看	c=2 d=0.440454 t=2592
wo zhe 	我這	c=0 d=0.019398 t=2592
wo zhe bian 	我這邊	c=1 d=0.740818 t=2592
wo zhe ge 	我這個	c=6 d=2.21996 t=2592
wo zhe ke yi 	我這可以	c=1 d=0.194952 t=2592
wo zhe li 	我這裏	c=4 d=0.816224 t=2592
wo zhe li ye shi 	我這裏也是	c=1 d=0.108609 t=2592
wo zhe shi 	我這是	c=1 d=1 t=2592
wo zhe zhong 	我這種	c=1 d=0.852144 t=2592
wo zhi 	我只	c=0 d=0.1 t=2592
wo zhi dao le 	我知道了	c=1 d=0.344728 t=2592
wo zhi gai le 	我只改了	c=1 d=1 t=2592
wo zhi qian 	我之前	c=1 d=1 t=2592
wu 	無	c=1 d=0.0194482 t=2592
wu can shu 	無參數	c=1 d=1 t=2592
wu chun nian 	無春年	c=1 d=1 t=2592
wu fa 	無法	c=2 d=1.01128 t=2592
wu nao 	無腦	c=1 d=0.918731 t=2592
wu nao da 	無腦打	c=1 d=1 t=2592
wu xiao 	無效	c=1 d=1 t=2592
wu xiu 	午休	c=1 d=0.0322254 t=2592
wu ya 	烏鴉	c=1 d=1 t=2592
xi 	西	c=2 d=1.97045 t=2592
xi huan 	喜歡	c=0 d=0.0701173 t=2592
xi jie 	細節	c=1 d=0.0678809 t=2592
xi tong 	系統	c=1 d=0.0192547 t=2592
xia 	下	c=6 d=0.781111 t=2592
xia ban 	下班	c=0 d=0.0980199 t=2592
xia wu 	下午	c=1 d=1 t=2592
xia yu le 	下雨了	c=0 d=0.1 t=2592
xia zai 	下載	c=3 d=0.0678373 t=2592
xian 	先	c=3 d=0.800323 t=2592
xian ba 	先把	c=1 d=0.0902655 t=2592
xian bu guan 	先不管	c=1 d=0.0141931 t=2592
xian cheng 	現成	c=1 d=0.752014 t=2592
xian cheng 	線程	c=4 d=3.8874 t=2592
xian shi 	顯示	c=1 d=1.00009 t=2592
xian zai 	現在	c=9 d=1.96968 t=2592
xiang 	翔	c=1 d=1 t=2592
xiang dang yu 	相當於	c=1 d=1 t=2592
xiang guan 	相關	c=2 d=1.44264 t=2592
xiang kan kan 	想看看	c=0 d=0.1 t=2592
xiang mu 	項目	c=0 d=0.00566989 t=2592
xiao 	小	c=1 d=0.084163 t=2592
xiao li wu 	小禮物	c=1 d=0.0837432 t=2592
xie 	寫	c=1 d=1.06028 t=2592
xie de 	寫的	c=3 d=1.34396 t=2592
xie le 	寫了	c=0 d=0.100133 t=2592
xie le ge 	寫了歌	c=1 d=1 t=2592
xie le yi ge 	寫了一個	c=1 d=1 t=2592
xie ru 	寫入	c=5 d=2.91709 t=2592
xie si 	寫死	c=1 d=1 t=2592
xie wen jian 	寫文件	c=2 d=1.40454 t=2592
xie yi ge 	寫一個	c=1 d=1 t=2592
xin 	新	c=1 d=0.0179066 t=2592
xin de 	新的	c=3 d=1.88315 t=2592
xin de jia 	新的家	c=3 d=2.35655 t=2592
xin fen zhi 	新分支	c=1 d=0.179964 t=2592
xin gai dong 	新改動	c=1 d=1 t=2592
xin wen 	新聞	c=1 d=0.900325 t=2592
xin wen jie 	新聞界	c=1 d=1 t=2592
xin xi 	信息	c=5 d=0.0350844 t=2592
xin zeng 	新增	c=1 d=1 t=2592
xing 	行	c=3 d=1.68729 t=2592
xing kui 	幸虧	c=1 d=0.597501 t=2592
xing le 	行了	c=0 d=0.00639279 t=2592
xing wei 	行爲	c=1 d=0.263158 t=2592
xiu bu 	修補	c=0 d=0.1 t=2592
xiu bu le 	修補了	c=1 d=1 t=2592
xiu fu 	修復	c=1 d=1.06096 t=2592
xiu gai 	修改	c=4 d=2.06068 t=2592
xiu xi 	休息	c=0 d=0.1 t=2592
xiu xi yi tian 	休息一天	c=1 d=1 t=2592
xu qiu 	需求	c=0 d=0.0017953 t=2592
xu yao 	需要	c=6 d=0.822505 t=2592
xuan ze 	選擇	c=1 d=1 t=2592
xue kai 	薛凱	c=4 d=0.0558998 t=2592
xue xue 	學學	c=1 d=1 t=2592
ya 	呀	c=3 d=1.00827 t=2592
yan jiu 	研究	c=0 d=0.0458406 t=2592
yan jiu xia bie ren de 	研究下別人的	c=1 d=1 t=2592
yan se 	顏色	c=1 d=0.767206 t=2592
yan zheng 	驗證	c=2 d=1.26205 t=2592
yan zheng jiu shi 	驗證就是	c=1 d=1 t=2592
yang 	樣	c=2 d=1.54335 t=2592
yang cheng 	養成	c=1 d=1 t=2592
yao 	藥	c=2 d=1.605 t=2592
yao 	要	c=1 d=0.724153 t=2592
yao bu yao 	要不要	c=1 d=1 t=2592
yao kan 	要看	c=1 d=0.606531 t=2592
yao le 	搖了	c=0 d=0.1 t=2592
yao le 	要了	c=1 d=1 t=2592
yao qiu 	要求	c=3 d=1.20025 t=2592
yao shi 	要是	c=1 d=0.438235 t=2592
yao xia yu le ba 	要下雨了吧	c=1 d=1 t=2592
ye 	也	c=4 d=0.188586 t=2592
ye bu 	也不	c=0 d=0.0755784 t=2592
ye bu cun zai 	也不存在	c=1 d=0.759572 t=2592
ye bu de bing 	也不得病	c=1 d=1 t=2592
ye bu zhi dao 	也不知道	c=1 d=1 t=2592
ye dai le yi ge 	也帶了一個	c=1 d=0.0430669 t=2592
ye dei yi yang 	也得一樣	c=1 d=0.0178634 t=2592
ye hui 	也會	c=1 d=0.00887153 t=2592
ye jiu 	也就	c=1 d=0.0142642 t=2592
ye ke 	也可	c=0 d=0.00195457 t=2592
ye ke yi 	也可以	c=1 d=1 t=2592
ye ke yong 	也可用	c=1 d=0.0196437 t=2592
ye mei you 	也沒有	c=1 d=1 t=2592
ye shi 	也是	c=4 d=1.5017 t=2592
ye shua dao zhe ge 	也刷到這個	c=1 d=0.895834 t=2592
ye you 	也有	c=1 d=0.0927825 t=2592
ye you wa er te ni 	也有瓦爾特你	c=1 d=0.301194 t=2592
ye you wen ti 	也有問題	c=1 d=0.208045 t=2592
ye you yi ge 	也有一個	c=1 d=0.631284 t=2592
ye yu 	業餘	c=0 d=0.00699482 t=2592
ye yu dao le 	業餘到了	c=1 d=0.0702988 t=2592
ye zhi chi 	也支持	c=1 d=0.0204453 t=2592
yi ban 	一般	c=4 d=0.640824 t=2592
yi ban hao xiang 	一般好像	c=1 d=1 t=2592
yi ban shuo 	一般說	c=1 d=1 t=2592
yi chu 	一處	c=1 d=0.013912 t=2592
yi chu 	益楚	c=2 d=1.99501 t=2592
yi chu 	益處	c=2 d=1.98506 t=2592
yi chu 	移除	c=3 d=0.369266 t=2592
yi ci 	一次	c=1 d=1.00079 t=2592
yi ding 	一定	c=1 d=0.353455 t=2592
yi ding shi 	一定是	c=1 d=0.336216 t=2592
yi duan shi jian 	一段時間	c=0 d=0.1 t=2592
yi ge 	一個	c=5 d=1.35092 t=2592
yi hou 	以後	c=3 d=2.45616 t=2592
yi ji 	以及	c=1 d=1 t=2592
yi jin qu 	一進去	c=1 d=1 t=2592
yi jiu 	依舊	c=2 d=1.11347 t=2592
yi lai 	依賴	c=2 d=0.0491125 t=2592
yi lai le 	依賴了	c=1 d=0.0578443 t=2592
yi lai yu 	依賴於	c=0 d=0.1 t=2592
yi nian 	一年	c=1 d=1 t=2592
yi qi 	一起	c=0 d=0.019593 t=2592
yi qi kan kan 	一起看看	c=1 d=0.196912 t=2592
yi qian 	以前	c=1 d=0.210136 t=2592
yi si 	意思	c=0 d=0.0763379 t=2592
yi sou 	一艘	c=1 d=1.08511 t=2592
yi tao 	一套	c=1 d=1 t=2592
yi tian 	一天	c=0 d=0.1 t=2592
yi wei 	以爲	c=1 d=0.276651 t=2592
yi xi lie 	一系列	c=1 d=1 t=2592
yi xia 	一下	c=0 d=0.0621812 t=2592
yi xie 	一些	c=2 d=0.259594 t=2592
yi yan 	一眼	c=1 d=0.882497 t=2592
yi yang 	一樣	c=2 d=0.227647 t=2592
yi zhi 	一致	c=0 d=0.1 t=2592
yi zhi bu 	一致不	c=1 d=1 t=2592
yi zhong 	一種	c=1 d=0.937067 t=2592
yin ru 	引入	c=2 d=0.200533 t=2592
yin ru le 	引入了	c=1 d=0.923116 t=2592
yin wei 	因爲	c=1 d=0.346456 t=2592
yin yue 	音樂	c=1 d=0.752014 t=2592
ying gai 	應該	c=9 d=0.69862 t=2592
yong 	用	c=9 d=2.01905 t=2592
yong de 	用的	c=1 d=0.0548443 t=2592
yong hu 	用戶	c=1 d=1 t=2592
yong zhe ge 	用這個	c=1 d=0.075774 t=2592
you 	又	c=1 d=1 t=2592
you 	有	c=18 d=2.7461 t=2592
you ban fa 	有辦法	c=1 d=1 t=2592
you bi yao 	有必要	c=2 d=1.72577 t=2592
you bian 	右邊	c=1 d=1 t=2592
you de 	有的	c=1 d=0.310367 t=2592
you dian 	有點	c=0 d=0.008291 t=2592
you gan jue 	有感覺	c=0 d=0.0677057 t=2592
you ge 	有個	c=1 d=1 t=2592
you guan 	有關	c=0 d=0.0113608 t=2592
you guan ma 	有關嗎	c=1 d=0.114178 t=2592
you guan xi 	有關係	c=1 d=0.120032 t=2592
you hua 	優化	c=3 d=1.4655 t=2592
you jie ru 	有接入	c=1 d=1 t=2592
you qi ta 	有其他	c=1 d=1 t=2592
you sha 	有啥	c=1 d=0.0349094 t=2592
you shen er ma 	有甚而嗎	c=1 d=0.0448245 t=2592
you wen ti 	有問題	c=3 d=1.28202 t=2592
you xi 	遊戲	c=1 d=1 t=2592
you yi xiang 	有意向	c=0 d=0.1 t=2592
you yi xiang zhe 	有意向者	c=1 d=1 t=2592
you yin xiang 	有印象	c=1 d=0.0699482 t=2592
you zhe me 	有這麼	c=0 d=0.1 t=2592
you zhe me yi ge 	有這麼一個	c=1 d=1 t=2592
yu 	與	c=2 d=1.40861 t=2592
yu dao 	遇到	c=1 d=0.369727 t=2592
yu dao de hua 	遇到的話	c=1 d=0.0632918 t=2592
yu dao le 	遇到了	c=1 d=0.0710054 t=2592
yu nian 	餘年	c=1 d=1.09802 t=2592
yu qi 	預期	c=0 d=0.0148823 t=2592
yu yan 	語言	c=7 d=5.80255 t=2592
yu yin 	語音	c=1 d=1 t=2592
yuan 	遠	c=0 d=0.1 t=2592
yuan bang ji tuan 	遠邦集團	c=1 d=1 t=2592
yuan lai 	原來	c=0 d=0.1 t=2592
yuan ma 	源碼	c=2 d=0.101266 t=2592
yuan yin 	原因	c=3 d=0.601044 t=2592
yue 	月	c=1 d=0.137381 t=2592
yue da 	越大	c=1 d=0.423162 t=2592
yue xiao 	越小	c=1 d=0.429557 t=2592
yun xing 	運行	c=3 d=0.107528 t=2592
yun xing ta 	運行他	c=1 d=1 t=2592
yun xu 	允許	c=1 d=0.444858 t=2592
za 	咋	c=0 d=0.039034 t=2592
za dou bu hui 	咋都不會	c=1 d=0.161218 t=2592
za lai de 	咋來的	c=1 d=0.231078 t=2592
za shuo 	雜說	c=0 d=0.0472367 t=2592
za shuo le 	雜說了	c=1 d=0.474734 t=2592
za yang 	咋樣	c=2 d=1.97045 t=2592
zai 	再	c=3 d=2.90845 t=2592
zai 	在	c=8 d=0.748611 t=2592
zai cha wan en en 	在茶碗嗯嗯	c=1 d=1 t=2592
zai duan 	在斷	c=1 d=1 t=2592
zai gao 	在搞	c=2 d=1.35785 t=2592
zai gao yi ge 	在搞一個	c=1 d=1 t=2592
zai jia 	再加	c=0 d=0.1 t=2592
zai jia dian 	再加點	c=1 d=1 t=2592
zai kan 	再看	c=1 d=0.0403566 t=2592
zai kan ge 	在看個	c=1 d=1 t=2592
zai kan kan 	再看看	c=2 d=0.257999 t=2592
zai la yi xia 	再啦一下	c=1 d=1 t=2592
zai na 	在哪	c=2 d=0.788795 t=2592
zai shuo 	再說	c=2 d=1.05475 t=2592
zai zhe 	在這	c=1 d=1.05326 t=2592
zai zhe ge 	在這個	c=0 d=0.1 t=2592
zai zhe ge ji chu shang 	在這個基礎上	c=1 d=1 t=2592
zai zhe li 	在這裏	c=1 d=0.0222592 t=2592
zan men 	咱們	c=0 d=0.1 t=2592
zan men hua le duo shao 	咱們花了多少	c=1 d=1 t=2592
zan zan 	讚讚	c=1 d=1 t=2592
zao qi 	早期	c=1 d=0.826959 t=2592
zao shang 	早上	c=1 d=0.822835 t=2592
ze ba 	則把	c=1 d=1 t=2592
zei 	賊	c=0 d=0.137823 t=2592
zei xi huan 	賊喜歡	c=1 d=0.704688 t=2592
zei you gan jue 	賊有感覺	c=1 d=0.680451 t=2592
zen me 	怎麼	c=2 d=1.02887 t=2592
zeng yi ke 	曾軼可	c=6 d=4.1839 t=2592
zhang 	張	c=0 d=0.1 t=2592
zhang 	長	c=1 d=1 t=2592
zhang kong 	掌控	c=0 d=0.0479505 t=2592
zhang kong zhi nei 	掌控之內	c=1 d=0.481909 t=2592
zhang shen ti 	張身體	c=1 d=1 t=2592
zhao 	找	c=1 d=1.0343 t=2592
zhao de hua 	找的話	c=1 d=1 t=2592
zhe 	者	c=0 d=0.1 t=2592
zhe 	這	c=3 d=0.407237 t=2592
zhe bian 	這邊	c=1 d=1 t=2592
zhe ci 	這次	c=1 d=1 t=2592
zhe duan 	這段	c=0 d=0.1 t=2592
zhe duan dai ma 	這段代碼	c=1 d=1 t=2592
zhe fang mian 	這方面	c=1 d=1 t=2592
zhe ge 	這個	c=36 d=3.71727 t=2592
zhe ge jia 	這個價	c=1 d=1 t=2592
zhe ge shi 	這個事	c=1 d=1 t=2592
zhe ji tian 	這幾天	c=1 d=0.690734 t=2592
zhe kuan 	這款	c=4 d=2.08344 t=2592
zhe lei 	這類	c=0 d=0.02334 t=2592
zhe lei dai ma 	這類代碼	c=1 d=0.23457 t=2592
zhe li 	這裏	c=10 d=2.24865 t=2592
zhe lia 	這倆	c=1 d=0.182684 t=2592
zhe me 	這麼	c=1 d=0.882497 t=2592
zhe san ge 	這三個	c=3 d=2.58267 t=2592
zhe shi 	這是	c=5 d=0.811187 t=2592
zhe xie 	這些	c=1 d=1 t=2592
zhe yang 	這樣	c=3 d=0.506617 t=2592
zhe yi 	這一	c=1 d=1.05627 t=2592
zhe yi hang 	這一行	c=1 d=1 t=2592
zhe zhong 	這種	c=3 d=0.596585 t=2592
zheng mian 	正面	c=1 d=0.609571 t=2592
zhi 	值	c=2 d=1.54064 t=2592
zhi 	只	c=0 d=0.1 t=2592
zhi chi 	支持	c=2 d=0.156459 t=2592
zhi dao 	知道	c=1 d=0.588605 t=2592
zhi dao le 	知道了	c=0 d=0.1 t=2592
zhi ding 	制定	c=1 d=1 t=2592
zhi ding 	指定	c=1 d=1 t=2592
zhi gai le 	只改了	c=1 d=1 t=2592
zhi hou 	之後	c=1 d=0.0090718 t=2592
zhi jian 	之間	c=1 d=0.125556 t=2592
zhi jie 	直接	c=9 d=0.280238 t=2592
zhi kan 	只看	c=0 d=0.00207543 t=2592
zhi kan zhe ge 	只看這個	c=1 d=0.0208584 t=2592
zhi le 	之樂	c=0 d=0.0045502 t=2592
zhi le die 	之樂跌	c=1 d=0.04573 t=2592
zhi lei de 	之類的	c=3 d=0.157215 t=2592
zhi ling 	指令	c=1 d=0.0391639 t=2592
zhi nei 	之內	c=0 d=0.0479505 t=2592
zhi neng 	只能	c=1 d=0.0159229 t=2592
zhi qian 	之前	c=5 d=1.02969 t=2592
zhi shao 	至少	c=1 d=0.554327 t=2592
zhi shi 	只是	c=1 d=0.637628 t=2592
zhi wu 	植物	c=0 d=0.0737123 t=2592
zhi wu da zhan jiang shi 	植物大戰殭屍	c=1 d=0.740818 t=2592
zhi xing 	執行	c=3 d=1.86245 t=2592
zhi xing de 	執行的	c=1 d=1 t=2592
zhi zhen 	指針	c=0 d=0.00297478 t=2592
zhi zuo 	只做	c=0 d=0.1 t=2592
zhi zuo yi ci 	只做一次	c=1 d=1 t=2592
zhong 	中	c=17 d=0.680371 t=2592
zhong jian 	中間	c=1 d=1 t=2592
zhong qi 	中期	c=2 d=1.68735 t=2592
zhong zhong zhi zhong 	重中之重	c=1 d=1 t=2592
zhu dong 	主動	c=1 d=0.0234005 t=2592
zhu shi 	註釋	c=1 d=1.04584 t=2592
zhu shi diao 	註釋掉	c=1 d=1 t=2592
zhu yao 	主要	c=1 d=0.83527 t=2592
zhu yao de 	主要的	c=1 d=1 t=2592
zhu yi 	注意	c=1 d=0.666977 t=2592
zhuang 	樁	c=3 d=2.81449 t=2592
zhuang 	裝	c=0 d=0.1 t=2592
zhuang bei 	裝備	c=2 d=1.20551 t=2592
zhuang de 	裝得	c=1 d=1 t=2592
zhui jia 	追加	c=1 d=1 t=2592
zhui jiu 	追究	c=1 d=1 t=2592
zhun bei 	準備	c=1 d=1 t=2592
zi ding yi 	自定義	c=1 d=1 t=2592
zi dong 	自動	c=4 d=0.646026 t=2592
zi fu 	字符	c=1 d=1 t=2592
zi fu chuan 	字符串	c=11 d=1.60827 t=2592
zi ji 	自己	c=8 d=0.198939 t=2592
zi wo 	自我	c=1 d=1 t=2592
zi zhi zhou 	自治州	c=5 d=4.93563 t=2592
zong shi 	總是	c=1 d=0.634448 t=2592
zu jian 	組件	c=1 d=1 t=2592
zu jian 	組建	c=1 d=1 t=2592
zui da 	最大	c=2 d=0.421052 t=2592
zui hou yi ge 	最後一個	c=1 d=0.33454 t=2592
zui jin 	最近	c=3 d=0.7077 t=2592
zui qian mian 	最前面	c=1 d=0.412714 t=2592
zuo 	做	c=3 d=0.698712 t=2592
zuo bian 	左邊	c=1 d=1 t=2592
zuo de 	做的	c=1 d=0.32628 t=2592
zuo ne 	做呢	c=1 d=0.0165727 t=2592
zuo sha 	做啥	c=0 d=0.1 t=2592
